bulan,provinsi,komoditas,rata_rata_harga
2025-01,Lampung,Cabai Rawit,72898.14814814815
2025-01,Lampung,Daging Ayam,31538.88888888889
2025-01,Lampung,Daging Sapi,130650.0
2025-01,Lampung,Gula Pasir,18225.925925925927
2025-01,Lampung,Minyak Goreng,20324.074074074073
2025-01,Lampung,Telur Ayam,28457.40740740741
2025-01,Maluku,Bawang Merah,47346.2962962963
2025-01,Maluku,Bawang Putih,49122.22222222222
2025-01,Maluku,Beras,16096.296296296296
2025-01,Maluku,Cabai Merah,91766.66666666667
2025-01,Maluku,Cabai Rawit,114592.5925925926
2025-01,Maluku,Daging Ayam,41264.81481481482
2025-01,Maluku,Daging Sapi,140050.0
2025-01,Maluku,Gula Pasir,20598.14814814815
2025-01,Maluku,Minyak Goreng,22196.296296296296
2025-01,Maluku,Telur Ayam,37385.18518518518
2025-01,Maluku Utara,Bawang Merah,54706.52173913043
2025-01,Maluku Utara,Bawang Putih,61902.17391304348
2025-01,Maluku Utara,Beras,16700.0
2025-01,Maluku Utara,Cabai Merah,52826.086956521736
2025-01,Maluku Utara,Cabai Rawit,78858.69565217392
2025-01,Maluku Utara,Daging Ayam,44000.0
2025-01,Maluku Utara,Daging Sapi,142608.69565217392
2025-01,Maluku Utara,Gula Pasir,20500.0
2025-01,Maluku Utara,Minyak Goreng,21780.434782608696
2025-01,Maluku Utara,Telur Ayam,36050.0
2025-01,Nusa Tenggara Barat,Bawang Merah,37731.48148148148
2025-01,Nusa Tenggara Barat,Bawang Putih,42070.37037037037
2025-01,Nusa Tenggara Barat,Beras,13877.777777777777
2025-01,Nusa Tenggara Barat,Cabai Merah,68992.5925925926
2025-01,Nusa Tenggara Barat,Cabai Rawit,59083.333333333336
2025-01,Nusa Tenggara Barat,Daging Ayam,39687.03703703704
2025-01,Nusa Tenggara Barat,Daging Sapi,117892.5925925926
2025-01,Nusa Tenggara Barat,Gula Pasir,17342.59259259259
2025-01,Nusa Tenggara Barat,Minyak Goreng,20975.925925925927
2025-01,Nusa Tenggara Barat,Telur Ayam,30140.74074074074
2025-01,Nusa Tenggara Timur,Bawang Merah,39907.40740740741
2025-01,Nusa Tenggara Timur,Bawang Putih,50116.666666666664
2025-01,Nusa Tenggara Timur,Beras,15420.37037037037
2025-01,Nusa Tenggara Timur,Cabai Merah,56894.444444444445
2025-01,Nusa Tenggara Timur,Cabai Rawit,75620.37037037036
2025-01,Nusa Tenggara Timur,Daging Ayam,48244.444444444445
2025-01,Nusa Tenggara Timur,Daging Sapi,115000.0
2025-01,Nusa Tenggara Timur,Gula Pasir,19429.62962962963
2025-01,Nusa Tenggara Timur,Minyak Goreng,21707.40740740741
2025-01,Nusa Tenggara Timur,Telur Ayam,34616.666666666664
2025-01,Papua,Bawang Merah,57938.88888888889
2025-01,Papua,Bawang Putih,54014.81481481482
2025-01,Papua,Beras,16685.185185185186
2025-01,Papua,Cabai Merah,62314.81481481482
2025-01,Papua,Cabai Rawit,57748.148148148146
2025-01,Papua,Daging Ayam,43705.555555555555
2025-01,Papua,Daging Sapi,135811.11111111112
2025-01,Papua,Gula Pasir,21518.51851851852
2025-01,Papua,Minyak Goreng,21694.444444444445
2025-01,Papua,Telur Ayam,39775.92592592593
2025-01,Papua Barat,Bawang Merah,56759.25925925926
2025-01,Papua Barat,Bawang Putih,54722.22222222222
2025-01,Papua Barat,Beras,16409.25925925926
2025-01,Papua Barat,Cabai Merah,53366.666666666664
2025-01,Papua Barat,Cabai Rawit,81435.18518518518
2025-01,Papua Barat,Daging Ayam,50359.25925925926
2025-01,Papua Barat,Daging Sapi,147870.37037037036
2025-01,Papua Barat,Gula Pasir,20770.37037037037
2025-01,Papua Barat,Minyak Goreng,23422.222222222223
2025-01,Papua Barat,Telur Ayam,37875.92592592593
2025-01,Riau,Bawang Merah,39784.61538461538
2025-01,Riau,Bawang Putih,41226.92307692308
2025-01,Riau,Beras,15919.23076923077
2025-01,Riau,Cabai Merah,62136.53846153846
2025-01,Riau,Cabai Rawit,63298.07692307692
2025-01,Riau,Daging Ayam,31936.53846153846
2025-01,Riau,Daging Sapi,124769.23076923077
2025-01,Riau,Gula Pasir,18357.69230769231
2025-01,Riau,Minyak Goreng,19740.384615384617
2025-01,Riau,Telur Ayam,31144.23076923077
2025-01,Sulawesi Barat,Bawang Merah,37520.37037037037
2025-01,Sulawesi Barat,Bawang Putih,42320.37037037037
2025-01,Sulawesi Barat,Beras,13288.888888888889
2025-01,Sulawesi Barat,Cabai Merah,31490.74074074074
2025-01,Sulawesi Barat,Cabai Rawit,46846.2962962963
2025-01,Sulawesi Barat,Daging Ayam,29414.814814814814
2025-01,Sulawesi Barat,Daging Sapi,125520.37037037036
2025-01,Sulawesi Barat,Gula Pasir,17931.48148148148
2025-01,Sulawesi Barat,Minyak Goreng,20800.0
2025-01,Sulawesi Barat,Telur Ayam,27114.814814814814
2025-01,Sulawesi Selatan,Bawang Merah,35977.77777777778
2025-01,Sulawesi Selatan,Bawang Putih,40601.851851851854
2025-01,Sulawesi Selatan,Beras,13398.148148148148
2025-01,Sulawesi Selatan,Cabai Merah,30346.296296296296
2025-01,Sulawesi Selatan,Cabai Rawit,49907.40740740741
2025-01,Sulawesi Selatan,Daging Ayam,31507.40740740741
2025-01,Sulawesi Selatan,Daging Sapi,125000.0
2025-01,Sulawesi Selatan,Gula Pasir,17570.37037037037
2025-01,Sulawesi Selatan,Minyak Goreng,19061.11111111111
2025-01,Sulawesi Selatan,Telur Ayam,25755.555555555555
2025-01,Sulawesi Tengah,Bawang Merah,39416.666666666664
