tanggal,commodity_id,komoditas,provinsi,id_provinsi,harga,show,avg_api,stddev_api,bulan
2024-01-01,10,Gula Pasir,Jawa Timur,16,16750.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Bali,17,17600.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Nusa Tenggara Barat,18,17050.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Kalimantan Selatan,21,17450.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Kalimantan Tengah,22,19100.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Kalimantan Timur,23,17950.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Gorontalo,25,19350.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Sulawesi Selatan,26,17050.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Sulawesi Tenggara,27,18800.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Sulawesi Utara,29,17550.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Sulawesi Barat,30,16900.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Maluku,31,18750.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Papua Barat,34,19650.0,True,17700.0,8300.0,2024-01
2024-01-02,1,Beras,Aceh,1,13700.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Sumatera Utara,2,13400.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Sumatera Barat,3,16400.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Riau,4,15200.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Kepulauan Riau,5,14300.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Jambi,6,14150.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Bengkulu,7,14800.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Sumatera Selatan,8,14250.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Kepulauan Bangka Belitung,9,14600.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Lampung,10,13650.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Banten,11,14600.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Jawa Barat,12,14000.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,DKI Jakarta,13,15400.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Jawa Tengah,14,13850.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,DI Yogyakarta,15,14000.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Jawa Timur,16,13700.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Bali,17,14400.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Nusa Tenggara Barat,18,13300.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Nusa Tenggara Timur,19,15050.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Kalimantan Barat,20,15600.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Kalimantan Selatan,21,17700.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Kalimantan Tengah,22,18800.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Kalimantan Timur,23,15350.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Kalimantan Utara,24,16000.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Gorontalo,25,14500.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Sulawesi Selatan,26,13000.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Sulawesi Tenggara,27,14100.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Sulawesi Tengah,28,13800.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Sulawesi Utara,29,13600.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Sulawesi Barat,30,13250.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Maluku,31,15200.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Maluku Utara,32,15750.0,True,14700.0,1250.0,2024-01
2024-01-02,1,Beras,Papua,33,15350.0,True,14700.0,1250.0,2024-01
