tanggal,provinsi,id_provinsi,harga,show,avg_api,stddev_api,bulan
2025-01-06,Jawa Barat,12,14600.0,True,15150.0,1100.0,2025-01
2025-01-06,DKI Jakarta,13,15700.0,True,15150.0,1100.0,2025-01
2025-01-06,Jawa Tengah,14,14550.0,True,15150.0,1100.0,2025-01
2025-01-06,DI Yogyakarta,15,14150.0,True,15150.0,1100.0,2025-01
2025-01-06,Jawa Timur,16,14050.0,True,15150.0,1100.0,2025-01
2025-01-06,Bali,17,15000.0,True,15150.0,1100.0,2025-01
2025-01-06,Nusa Tenggara Barat,18,13900.0,True,15150.0,1100.0,2025-01
2025-01-06,Nusa Tenggara Timur,19,15450.0,True,15150.0,1100.0,2025-01
2025-01-06,Kalimantan Barat,20,16500.0,True,15150.0,1100.0,2025-01
2025-01-06,Kalimantan Selatan,21,16500.0,True,15150.0,1100.0,2025-01
2025-01-06,Kalimantan Tengah,22,17600.0,True,15150.0,1100.0,2025-01
2025-01-06,Kalimantan Timur,23,15950.0,True,15150.0,1100.0,2025-01
2025-01-06,Kalimantan Utara,24,16200.0,True,15150.0,1100.0,2025-01
2025-01-06,Gorontalo,25,14550.0,True,15150.0,1100.0,2025-01
2025-01-06,Sulawesi Selatan,26,13400.0,True,15150.0,1100.0,2025-01
2025-01-06,Sulawesi Tenggara,27,14700.0,True,15150.0,1100.0,2025-01
2025-01-06,Sulawesi Tengah,28,14300.0,True,15150.0,1100.0,2025-01
2025-01-06,Sulawesi Utara,29,14050.0,True,15150.0,1100.0,2025-01
2025-01-06,Sulawesi Barat,30,13250.0,True,15150.0,1100.0,2025-01
2025-01-06,Maluku,31,16100.0,True,15150.0,1100.0,2025-01
2025-01-06,Maluku Utara,32,16700.0,True,15150.0,1100.0,2025-01
2025-01-06,Papua,33,16750.0,True,15150.0,1100.0,2025-01
2025-01-06,Papua Barat,34,16400.0,True,15150.0,1100.0,2025-01
2025-01-07,Aceh,1,13750.0,True,15200.0,1150.0,2025-01
2025-01-07,Sumatera Utara,2,13750.0,True,15200.0,1150.0,2025-01
2025-01-07,Sumatera Barat,3,17250.0,True,15200.0,1150.0,2025-01
2025-01-07,Riau,4,15900.0,True,15200.0,1150.0,2025-01
2025-01-07,Kepulauan Riau,5,15250.0,True,15200.0,1150.0,2025-01
2025-01-07,Jambi,6,15050.0,True,15200.0,1150.0,2025-01
2025-01-07,Bengkulu,7,15150.0,True,15200.0,1150.0,2025-01
2025-01-07,Sumatera Selatan,8,14950.0,True,15200.0,1150.0,2025-01
2025-01-07,Kepulauan Bangka Belitung,9,15000.0,True,15200.0,1150.0,2025-01
2025-01-07,Lampung,10,14550.0,True,15200.0,1150.0,2025-01
2025-01-07,Banten,11,14800.0,True,15200.0,1150.0,2025-01
2025-01-07,Jawa Barat,12,14600.0,True,15200.0,1150.0,2025-01
2025-01-07,DKI Jakarta,13,15700.0,True,15200.0,1150.0,2025-01
2025-01-07,Jawa Tengah,14,14550.0,True,15200.0,1150.0,2025-01
2025-01-07,DI Yogyakarta,15,14150.0,True,15200.0,1150.0,2025-01
2025-01-07,Jawa Timur,16,14050.0,True,15200.0,1150.0,2025-01
2025-01-07,Bali,17,15150.0,True,15200.0,1150.0,2025-01
2025-01-07,Nusa Tenggara Barat,18,13900.0,True,15200.0,1150.0,2025-01
2025-01-07,Nusa Tenggara Timur,19,15450.0,True,15200.0,1150.0,2025-01
2025-01-07,Kalimantan Barat,20,16500.0,True,15200.0,1150.0,2025-01
2025-01-07,Kalimantan Selatan,21,17350.0,True,15200.0,1150.0,2025-01
2025-01-07,Kalimantan Tengah,22,17600.0,True,15200.0,1150.0,2025-01
2025-01-07,Kalimantan Timur,23,15950.0,True,15200.0,1150.0,2025-01
2025-01-07,Kalimantan Utara,24,16600.0,True,15200.0,1150.0,2025-01
2025-01-07,Gorontalo,25,14550.0,True,15200.0,1150.0,2025-01
2025-01-07,Sulawesi Selatan,26,13400.0,True,15200.0,1150.0,2025-01
2025-01-07,Sulawesi Tenggara,27,14700.0,True,15200.0,1150.0,2025-01
2025-01-07,Sulawesi Tengah,28,14300.0,True,15200.0,1150.0,2025-01
2025-01-07,Sulawesi Utara,29,14050.0,True,15200.0,1150.0,2025-01
2025-01-07,Sulawesi Barat,30,13250.0,True,15200.0,1150.0,2025-01
2025-01-07,Maluku,31,16100.0,True,15200.0,1150.0,2025-01
2025-01-07,Maluku Utara,32,16700.0,True,15200.0,1150.0,2025-01
2025-01-07,Papua,33,16750.0,True,15200.0,1150.0,2025-01
2025-01-07,Papua Barat,34,16400.0,True,15200.0,1150.0,2025-01
2025-01-08,Aceh,1,13750.0,True,15200.0,1150.0,2025-01
2025-01-08,Sumatera Utara,2,13750.0,True,15200.0,1150.0,2025-01
2025-01-08,Sumatera Barat,3,17250.0,True,15200.0,1150.0,2025-01
2025-01-08,Riau,4,15900.0,True,15200.0,1150.0,2025-01
2025-01-08,Kepulauan Riau,5,15250.0,True,15200.0,1150.0,2025-01
2025-01-08,Jambi,6,15050.0,True,15200.0,1150.0,2025-01
2025-01-08,Bengkulu,7,15000.0,True,15200.0,1150.0,2025-01
2025-01-08,Sumatera Selatan,8,14950.0,True,15200.0,1150.0,2025-01
2025-01-08,Kepulauan Bangka Belitung,9,15000.0,True,15200.0,1150.0,2025-01
2025-01-08,Lampung,10,14550.0,True,15200.0,1150.0,2025-01
2025-01-08,Banten,11,14800.0,True,15200.0,1150.0,2025-01
2025-01-08,Jawa Barat,12,14650.0,True,15200.0,1150.0,2025-01
2025-01-08,DKI Jakarta,13,15700.0,True,15200.0,1150.0,2025-01
2025-01-08,Jawa Tengah,14,14550.0,True,15200.0,1150.0,2025-01
2025-01-08,DI Yogyakarta,15,14150.0,True,15200.0,1150.0,2025-01
2025-01-08,Jawa Timur,16,14050.0,True,15200.0,1150.0,2025-01
2025-01-08,Bali,17,15150.0,True,15200.0,1150.0,2025-01
2025-01-08,Nusa Tenggara Barat,18,13800.0,True,15200.0,1150.0,2025-01
2025-01-08,Nusa Tenggara Timur,19,15450.0,True,15200.0,1150.0,2025-01
2025-01-08,Kalimantan Barat,20,16500.0,True,15200.0,1150.0,2025-01
2025-01-08,Kalimantan Selatan,21,17350.0,True,15200.0,1150.0,2025-01
2025-01-08,Kalimantan Tengah,22,17600.0,True,15200.0,1150.0,2025-01
2025-01-08,Kalimantan Timur,23,16250.0,True,15200.0,1150.0,2025-01
2025-01-08,Kalimantan Utara,24,16600.0,True,15200.0,1150.0,2025-01
2025-01-08,Gorontalo,25,14550.0,True,15200.0,1150.0,2025-01
2025-01-08,Sulawesi Selatan,26,13400.0,True,15200.0,1150.0,2025-01
2025-01-08,Sulawesi Tenggara,27,14800.0,True,15200.0,1150.0,2025-01
2025-01-08,Sulawesi Tengah,28,14300.0,True,15200.0,1150.0,2025-01
2025-01-08,Sulawesi Utara,29,14050.0,True,15200.0,1150.0,2025-01
2025-01-08,Sulawesi Barat,30,13250.0,True,15200.0,1150.0,2025-01
2025-01-08,Maluku,31,16100.0,True,15200.0,1150.0,2025-01
2025-01-08,Maluku Utara,32,16700.0,True,15200.0,1150.0,2025-01
2025-01-08,Papua,33,16750.0,True,15200.0,1150.0,2025-01
2025-01-08,Papua Barat,34,16400.0,True,15200.0,1150.0,2025-01
2025-01-09,Aceh,1,13750.0,True,15150.0,2800.0,2025-01
2025-01-09,Sumatera Utara,2,13850.0,True,15150.0,2800.0,2025-01
2025-01-09,Sumatera Barat,3,17250.0,True,15150.0,2800.0,2025-01
2025-01-09,Riau,4,15900.0,True,15150.0,2800.0,2025-01
2025-01-09,Kepulauan Riau,5,15250.0,True,15150.0,2800.0,2025-01
2025-01-09,Jambi,6,15050.0,True,15150.0,2800.0,2025-01
2025-01-09,Bengkulu,7,15150.0,True,15150.0,2800.0,2025-01
2025-01-09,Sumatera Selatan,8,14950.0,True,15150.0,2800.0,2025-01
2025-01-09,Kepulauan Bangka Belitung,9,15000.0,True,15150.0,2800.0,2025-01
2025-01-09,Lampung,10,14550.0,True,15150.0,2800.0,2025-01
2025-01-09,Banten,11,14800.0,True,15150.0,2800.0,2025-01
2025-01-09,Jawa Barat,12,14650.0,True,15150.0,2800.0,2025-01
2025-01-09,DKI Jakarta,13,15700.0,True,15150.0,2800.0,2025-01
2025-01-09,Jawa Tengah,14,14550.0,True,15150.0,2800.0,2025-01
2025-01-09,DI Yogyakarta,15,14150.0,True,15150.0,2800.0,2025-01
2025-01-09,Jawa Timur,16,14100.0,True,15150.0,2800.0,2025-01
2025-01-09,Bali,17,15150.0,True,15150.0,2800.0,2025-01
2025-01-09,Nusa Tenggara Barat,18,13800.0,True,15150.0,2800.0,2025-01
2025-01-09,Nusa Tenggara Timur,19,15450.0,True,15150.0,2800.0,2025-01
2025-01-09,Kalimantan Barat,20,16500.0,True,15150.0,2800.0,2025-01
2025-01-09,Kalimantan Selatan,21,17350.0,True,15150.0,2800.0,2025-01
2025-01-09,Kalimantan Tengah,22,17600.0,True,15150.0,2800.0,2025-01
2025-01-09,Kalimantan Timur,23,15950.0,True,15150.0,2800.0,2025-01
2025-01-09,Gorontalo,25,14550.0,True,15150.0,2800.0,2025-01
2025-01-09,Sulawesi Selatan,26,13400.0,True,15150.0,2800.0,2025-01
2025-01-09,Sulawesi Tenggara,27,14800.0,True,15150.0,2800.0,2025-01
2025-01-09,Sulawesi Tengah,28,14250.0,True,15150.0,2800.0,2025-01
2025-01-09,Sulawesi Utara,29,14050.0,True,15150.0,2800.0,2025-01
2025-01-09,Sulawesi Barat,30,13250.0,True,15150.0,2800.0,2025-01
2025-01-09,Maluku,31,16100.0,True,15150.0,2800.0,2025-01
2025-01-09,Maluku Utara,32,16700.0,True,15150.0,2800.0,2025-01
2025-01-09,Papua,33,16750.0,True,15150.0,2800.0,2025-01
2025-01-09,Papua Barat,34,16400.0,True,15150.0,2800.0,2025-01
2025-01-10,Aceh,1,13750.0,True,15200.0,1150.0,2025-01
2025-01-10,Sumatera Utara,2,13750.0,True,15200.0,1150.0,2025-01
